species,id,side,width,height
whiting,92,R,1354,984
haddock,47,L,1180,649
hake,8,R,1243,437
horse mackerel,41,L,1047,1071
whiting,72,L,2045,1540
other,60,R,2368,1489
other,65,L,2057,780
hake,10,L,133,1551
other,64,R,1681,1042
saithe,7,R,827,248
cod,38,R,1054,1902
whiting,86,R,244,1293
whiting,50,R,1107,1380
whiting,85,R,1899,233
horse mackerel,29,R,2030,1795
horse mackerel,38,L,2203,984
haddock,43,L,1921,1942
saithe,6,R,1240,1660
hake,24,R,2361,655
haddock,45,L,480,1684
hake,26,R,704,1166
haddock,39,R,622,1302
