species,id,side,width,height
hake,10,R,738,373
horse mackerel,41,R,2190,1773
saithe,6,L,1770,1727
other,65,R,1183,1829
horse mackerel,38,R,1356,1664
haddock,45,R,1701,1415
whiting,85,L,2005,1098
haddock,39,L,1307,1286
whiting,92,L,1572,1093
whiting,72,R,2179,491
haddock,47,R,1827,593
other,60,L,1541,709
whiting,50,L,911,1749
hake,26,L,604,1498
cod,38,L,286,1584
haddock,43,R,707,1060
hake,24,L,994,822
whiting,86,L,415,1146
other,64,L,186,920
horse mackerel,29,L,689,653
hake,8,L,1176,500
saithe,7,L,2277,1000
