species,id,side,width,height
hake,10,R,2159,293
horse mackerel,41,R,128,844
saithe,6,L,498,1722
other,65,R,1283,1544
horse mackerel,38,R,353,1622
haddock,45,R,1198,1871
whiting,85,L,2132,1647
haddock,39,L,956,155
whiting,92,L,1434,864
whiting,72,R,1263,1369
haddock,47,R,627,1304
other,60,L,135,1575
whiting,50,L,1558,380
hake,26,L,2361,1780
cod,38,L,1865,1562
haddock,43,R,2230,733
hake,24,L,1492,1695
whiting,86,L,1736,464
other,64,L,2077,960
horse mackerel,29,L,1845,1289
hake,8,L,1105,595
saithe,7,L,2355,1273
