species,id,side,width,height
hake,10,R,1405,1158
horse mackerel,41,R,1567,966
saithe,6,L,1692,1778
other,65,R,2317,1569
horse mackerel,38,R,1329,373
haddock,45,R,731,351
whiting,85,L,2266,851
haddock,39,L,2192,1775
whiting,92,L,711,97
whiting,72,R,511,1644
haddock,47,R,1494,580
other,60,L,266,482
whiting,50,L,193,322
hake,26,L,1185,311
cod,38,L,2357,1264
haddock,43,R,342,629
hake,24,L,729,904
whiting,86,L,1814,1373
other,64,L,2099,1189
horse mackerel,29,L,1803,720
hake,8,L,166,835
saithe,7,L,1198,1784
