species,id,side,width,height
whiting,92,R,756,200
haddock,47,L,1485,1682
hake,8,R,1320,1060
horse mackerel,41,L,1859,773
whiting,72,L,1881,402
other,60,R,2105,1404
other,65,L,951,1202
hake,10,L,660,1291
other,64,R,985,869
saithe,7,R,2072,1662
cod,38,R,853,464
whiting,86,R,1908,1311
whiting,50,R,1109,204
whiting,85,R,420,1062
horse mackerel,29,R,1487,322
horse mackerel,38,L,1610,657
haddock,43,L,1901,211
saithe,6,R,2050,1815
hake,24,R,2197,1133
haddock,45,L,911,1433
hake,26,R,2134,742
haddock,39,R,2166,451
