species,id,side,width,height
whiting,92,R,813,268
haddock,47,L,222,222
hake,8,R,455,480
horse mackerel,41,L,322,846
whiting,72,L,882,642
other,60,R,1169,362
other,65,L,1340,477
hake,10,L,1672,551
other,64,R,2025,275
saithe,7,R,925,1015
cod,38,R,1681,1040
whiting,86,R,2168,902
whiting,50,R,1792,1395
whiting,85,R,2301,1524
horse mackerel,29,R,1071,1300
horse mackerel,38,L,547,1473
haddock,43,L,500,1695
saithe,6,R,491,1942
hake,24,R,1011,1640
haddock,45,L,1309,1709
hake,26,R,1652,1653
haddock,39,R,1936,1933
