species,id,side,width,height
hake,10,R,1165,929
horse mackerel,41,R,1523,566
saithe,6,L,1360,1422
other,65,R,1638,962
horse mackerel,38,R,1345,1671
haddock,45,R,2114,1429
whiting,85,L,1171,311
haddock,39,L,2061,840
whiting,92,L,2292,511
whiting,72,R,202,797
haddock,47,R,1845,673
other,60,L,882,1567
whiting,50,L,1174,580
hake,26,L,913,744
cod,38,L,1956,291
haddock,43,R,231,1506
hake,24,L,515,1220
whiting,86,L,2023,1655
other,64,L,822,949
horse mackerel,29,L,2299,1355
hake,8,L,2114,595
saithe,7,L,604,1031
