species,id,side,width,height
hake,10,R,1576,1551
horse mackerel,41,R,907,1680
saithe,6,L,1316,182
other,65,R,676,480
horse mackerel,38,R,1848,228
haddock,45,R,640,1109
whiting,85,L,1329,377
haddock,39,L,189,1315
whiting,92,L,2179,473
whiting,72,R,217,435
haddock,47,R,636,1460
other,60,L,1601,911
whiting,50,L,1836,800
hake,26,L,1561,671
cod,38,L,1067,1391
haddock,43,R,1374,1444
hake,24,L,851,913
whiting,86,L,453,1189
other,64,L,2101,1504
horse mackerel,29,L,1194,769
hake,8,L,636,953
saithe,7,L,693,1787
