species,id,side,width,height
hake,10,R,905,1778
horse mackerel,41,R,2003,706
saithe,6,L,1632,775
other,65,R,976,1353
horse mackerel,38,R,1803,1082
haddock,45,R,1303,677
whiting,85,L,2148,495
haddock,39,L,2179,1386
whiting,92,L,1965,1471
whiting,72,R,1303,1049
haddock,47,R,2330,1062
other,60,L,2159,891
whiting,50,L,1556,1524
hake,26,L,1360,1709
cod,38,L,189,680
haddock,43,R,1176,482
hake,24,L,1647,1002
whiting,86,L,358,1589
other,64,L,1930,1904
horse mackerel,29,L,231,1346
hake,8,L,800,1613
saithe,7,L,1658,317
