species,id,side,width,height
whiting,92,R,2105,1840
haddock,47,L,1610,1480
hake,8,R,304,940
horse mackerel,41,L,449,809
whiting,72,L,200,1598
other,60,R,2230,751
other,65,L,1787,1293
hake,10,L,2206,1406
other,64,R,1107,1158
saithe,7,R,1394,240
cod,38,R,2179,333
whiting,86,R,1214,1729
whiting,50,R,1856,366
whiting,85,R,1151,766
horse mackerel,29,R,211,1140
horse mackerel,38,L,1970,882
haddock,43,L,2286,571
saithe,6,R,2306,1106
hake,24,R,1467,1504
haddock,45,L,929,1478
hake,26,R,998,260
haddock,39,R,902,571
