species,id,side,width,height
whiting,92,R,998,1731
haddock,47,L,2112,920
hake,8,R,2234,831
horse mackerel,41,L,1956,1822
whiting,72,L,1785,1633
other,60,R,1205,1855
other,65,L,1779,1153
hake,10,L,1425,1198
other,64,R,1943,415
saithe,7,R,1990,1129
cod,38,R,142,1378
whiting,86,R,1736,195
whiting,50,R,202,673
whiting,85,R,1583,364
horse mackerel,29,R,1487,1482
horse mackerel,38,L,980,293
haddock,43,L,673,1753
saithe,6,R,411,1391
hake,24,R,1265,1675
haddock,45,L,2057,589
hake,26,R,2190,1398
haddock,39,R,2312,1518
