species,id,side,width,height
whiting,92,R,1914,1218
haddock,47,L,2254,1440
hake,8,R,386,793
horse mackerel,41,L,1272,404
whiting,72,L,1934,704
other,60,R,969,1118
other,65,L,1438,911
hake,10,L,847,1315
other,64,R,749,211
saithe,7,R,1685,242
cod,38,R,1959,1006
whiting,86,R,2252,284
whiting,50,R,451,1313
whiting,85,R,500,1738
horse mackerel,29,R,2170,560
horse mackerel,38,L,1040,655
haddock,43,L,849,882
saithe,6,R,133,522
hake,24,R,1427,1158
haddock,45,L,958,346
hake,26,R,271,1135
haddock,39,R,769,1531
