species,id,side,width,height
hake,10,R,2163,560
horse mackerel,41,R,1087,1542
saithe,6,L,1598,293
other,65,R,531,935
horse mackerel,38,R,991,966
haddock,45,R,1603,1271
whiting,85,L,1994,400
haddock,39,L,395,417
whiting,92,L,2337,488
whiting,72,R,638,1244
haddock,47,R,1036,777
other,60,L,1892,829
whiting,50,L,1601,1562
hake,26,L,1616,1009
cod,38,L,1203,506
haddock,43,R,1263,1342
hake,24,L,916,1671
whiting,86,L,209,1784
other,64,L,246,684
horse mackerel,29,L,1425,1464
hake,8,L,451,1711
saithe,7,L,151,1389
