species,id,side,width,height
whiting,92,R,1670,806
haddock,47,L,2061,817
hake,8,R,1501,1747
horse mackerel,41,L,1232,1931
whiting,72,L,284,473
other,60,R,1180,1502
other,65,L,885,1060
hake,10,L,1387,475
other,64,R,1280,753
saithe,7,R,713,771
cod,38,R,1083,146
whiting,86,R,431,1713
whiting,50,R,1665,1180
whiting,85,R,1196,1753
horse mackerel,29,R,1340,1264
horse mackerel,38,L,996,1304
haddock,43,L,1721,1618
saithe,6,R,2123,1493
hake,24,R,600,1353
haddock,45,L,589,593
hake,26,R,733,953
haddock,39,R,275,1435
