species,id,side,width,height
hake,10,R,2319,1026
horse mackerel,41,R,1249,1178
saithe,6,L,853,1580
other,65,R,587,1391
horse mackerel,38,R,324,1520
haddock,45,R,1534,1562
whiting,85,L,1999,929
haddock,39,L,1372,1409
whiting,92,L,929,724
whiting,72,R,2335,1613
haddock,47,R,1990,1315
other,60,L,137,1382
whiting,50,L,200,926
hake,26,L,960,1082
cod,38,L,484,226
haddock,43,R,1983,1893
hake,24,L,809,1847
whiting,86,L,1587,1020
other,64,L,1465,295
horse mackerel,29,L,660,1160
hake,8,L,313,657
saithe,7,L,1596,1749
