species,id,side,width,height
hake,10,R,1643,635
horse mackerel,41,R,1981,1355
saithe,6,L,2239,657
other,65,R,166,495
horse mackerel,38,R,2128,1773
haddock,45,R,551,829
whiting,85,L,166,1329
haddock,39,L,749,408
whiting,92,L,1367,1360
whiting,72,R,389,544
haddock,47,R,1407,1624
other,60,L,865,1693
whiting,50,L,1176,1158
hake,26,L,762,1595
cod,38,L,2268,275
haddock,43,R,355,1209
hake,24,L,1267,722
whiting,86,L,1469,1051
other,64,L,493,1471
horse mackerel,29,L,1534,275
hake,8,L,284,771
saithe,7,L,1327,446
